item,pccitem,receivedate,startdate,finishdate,solution,capacity,read,write,owner,remark,prodname,desc,prodpn,fwvversion,ftype,vendor,testres,expl,rpname,rpdate,approvename
624,655,2016/1/4,2016/1/5,2016/1/8,SMI 2703,16GB,,, Eric,,Card,SDHC UHS-II U3 280/250 C10 (Ultra) 32GB,87.XCGCJ.YN80C,,ET6PH8A-HS,Phison,PASS,,Gary,2017-08-08,Danny
625,656,2016/1/4,2016/1/5,2016/1/12,SMI 2703,64GB,,, Eric,,,,,,,,,,,,
626,657,2016/1/19,2016/1/21,2016/1/29,SMI 2703,128GB,,, Eric,,,,,,,,,,,,
627,659,2016/1/22,2016/1/25,2016/1/29,PS 8210,2GB,,, Eric,,,,,,,,,,,,
628,658,2016/1/19,2016/1/27,2016/2/2,SMI 2703,32GB,,, Eric,,,,,,,,,,,,
629,660,2016/2/19,2016/2/23,2016/2/26,SMI 2703 AA,32GB,,, Eric,,,,,,,,,,,,
630,661,2016/2/19,2016/3/7,2016/3/11,SMI 2703 AA,64GB,,, Eric,,,,,,,,,,,,
631,662,2016/2/19,2016/3/3,2016/3/11,SMI 2703 AA,128GB,,, Eric,,,,,,,,,,,,
632,663,2016/3/7,2016/3/11,2016/3/16,Skymedi 6659,4GB,,, Eric,,,,,,,,,,,,
633,664,2016/3/7,2016/3/16,2016/3/21,DM 2307,16GB,,, Eric,,,,,,,,,,,,
634,665,2016/6/6,2016/6/6,2016/6/14,SMI 2689 AB,8GB,,, Eric,,,,,,,,,,,,
635,666,2016/6/6,2016/6/7,2016/6/23,PS 8130,256GB,,, Eric,,,,,,,,,,,,
636,667,2016/6/16,2016/6/21,2016/6/24,SMI 2702 BA,16GB,,, Eric,,,,,,,,,,,,
637,668,2016/6/16,2016/6/24,2016/6/28,SMI 2702 BA,32GB,,, Eric,,,,,,,,,,,,
638,669,2016/6/20,2016/6/28,2016/7/1,PS 8210,16GB,,, Eric,,,,,,,,,,,,
